PLAYER_ID,PLAYER_NAME,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,FROM_YEAR,TO_YEAR,DRAFT_YEAR,DRAFT_ROUND,DRAFT_PICK
1630700,Dyson Daniels,dyson-daniels,2003-03-17T00:00:00,NBA G League Ignite,Australia,6-7,199.0,3,Guard,Active,1610612737,Hawks,ATL,2021,2025,2022,1,8
1629638,Nickeil Alexander-Walker,nickeil-alexander-walker,1998-09-02T00:00:00,Virginia Tech,Canada,6-5,205.0,6,Guard,Active,1610612737,Hawks,ATL,2019,2025,2019,1,17
1630168,Onyeka Okongwu,onyeka-okongwu,2000-12-11T00:00:00,Southern California,USA,6-10,240.0,5,Forward-Center,Active,1610612737,Hawks,ATL,2020,2025,2020,1,6
203468,CJ McCollum,cj-mccollum,1991-09-19T00:00:00,Lehigh,USA,6-3,190.0,12,Guard,Active,1610612737,Hawks,ATL,2013,2025,2013,1,10
1630552,Jalen Johnson,jalen-johnson,2001-12-18T00:00:00,Duke,USA,6-8,219.0,4,Forward,Active,1610612737,Hawks,ATL,2021,2025,2021,1,20
1642258,Zaccharie Risacher,zaccharie-risacher,2005-04-08T00:00:00,JL Bourg-en-Bresse,France,6-8,200.0,1,Forward,Active,1610612737,Hawks,ATL,2024,2025,2024,1,1
1627741,Buddy Hield,buddy-hield,1992-12-17T00:00:00,Oklahoma,Bahamas,6-4,220.0,9,Guard,Active,1610612737,Hawks,ATL,2016,2025,2016,1,6
1630557,Corey Kispert,corey-kispert,1999-03-03T00:00:00,Gonzaga,USA,6-6,224.0,4,Forward,Active,1610612737,Hawks,ATL,2021,2025,2021,1,15
1629216,Gabe Vincent,gabe-vincent,1996-06-14T00:00:00,California-Santa Barbara,USA,6-2,200.0,6,Guard,Active,1610612737,Hawks,ATL,2019,2025,Undrafted,Undrafted,Undrafted
1629111,Jock Landale,jock-landale,1995-10-25T00:00:00,St. Mary's,Australia,6-11,255.0,4,Center,Active,1610612737,Hawks,ATL,2021,2025,Undrafted,Undrafted,Undrafted
1629008,Michael Porter Jr.,michael-porter-jr,1998-06-29T00:00:00,Missouri,USA,6-10,218.0,6,Forward,Active,1610612751,Nets,BKN,2018,2025,2018,1,14
1629651,Nic Claxton,nic-claxton,1999-04-17T00:00:00,Georgia,USA,6-11,215.0,6,Center,Active,1610612751,Nets,BKN,2019,2025,2019,2,31
1629611,Terance Mann,terance-mann,1996-10-18T00:00:00,Florida State,USA,6-6,215.0,6,Guard-Forward,Active,1610612751,Nets,BKN,2019,2025,2019,2,48
1641730,Noah Clowney,noah-clowney,2004-07-14T00:00:00,Alabama,USA,6-10,210.0,2,Forward-Center,Active,1610612751,Nets,BKN,2023,2025,2023,1,21
1630592,Jalen Wilson,jalen-wilson,2000-11-04T00:00:00,Kansas,USA,6-6,220.0,2,Forward,Active,1610612751,Nets,BKN,2023,2025,2023,2,51
1630533,Ziaire Williams,ziaire-williams,2001-09-12T00:00:00,Stanford,USA,6-9,185.0,4,Forward,Active,1610612751,Nets,BKN,2021,2025,2021,1,10
1630534,Ochai Agbaji,ochai-agbaji,2000-04-20T00:00:00,Kansas,USA,6-5,215.0,3,Guard,Active,1610612751,Nets,BKN,2022,2025,2022,1,14
1630549,Day'Ron Sharpe,dayron-sharpe,2001-11-06T00:00:00,North Carolina,USA,6-10,265.0,4,Center,Active,1610612751,Nets,BKN,2021,2025,2021,1,29
1642962,Drake Powell,drake-powell,2005-09-08T00:00:00,North Carolina,USA,6-5,195.0,0,Guard-Forward,Active,1610612751,Nets,BKN,2025,2025,2025,1,22
1631169,Josh Minott,josh-minott,2002-11-25T00:00:00,Memphis,USA,6-8,205.0,3,Forward,Active,1610612751,Nets,BKN,2022,2025,2022,2,45
1628401,Derrick White,derrick-white,1994-07-02T00:00:00,Colorado,USA,6-4,190.0,8,Guard,Active,1610612738,Celtics,BOS,2017,2025,2017,1,29
1630202,Payton Pritchard,payton-pritchard,1998-01-28T00:00:00,Oregon,USA,6-1,195.0,5,Guard,Active,1610612738,Celtics,BOS,2020,2025,2020,1,26
1627759,Jaylen Brown,jaylen-brown,1996-10-24T00:00:00,California,USA,6-6,223.0,9,Guard-Forward,Active,1610612738,Celtics,BOS,2016,2025,2016,1,3
202696,Nikola Vučević,nikola-vučević,1990-10-24T00:00:00,Southern California,Montenegro,6-9,265.0,14,Center,Active,1610612738,Celtics,BOS,2011,2025,2011,1,16
1630573,Sam Hauser,sam-hauser,1997-12-08T00:00:00,Virginia,USA,6-7,217.0,4,Forward,Active,1610612738,Celtics,BOS,2021,2025,Undrafted,Undrafted,Undrafted
